date,beaker code,time,mussel no,replicate,cell-count
1/28/2016,E,1,2,1,20431
1/28/2016,E,2,2,1,7229
1/28/2016,E,2,2,2,9063
1/28/2016,E,2,2,3,11552
1/28/2016,D,5,1,1,20349
1/28/2016,D,5,1,2,23643
1/28/2016,A,1,1,1,14299
1/28/2016,A,3,1,1,17598
1/28/2016,A,4,1,1,6527
1/28/2016,A,4,1,2,7743
1/28/2016,E,3,2,1,8890
1/28/2016,E,4,2,1,5298
1/28/2016,E,4,2,2,6646
1/28/2016,E,4,2,3,5740
1/28/2016,E,5,2,1,5877
1/28/2016,E,5,2,2,6508
1/28/2016,D,2,2,1,9191
1/28/2016,D,2,2,2,9264
1/28/2016,D,3,2,1,7580
2/2/2016,A,1,1,1,8971
2/2/2016,B,1,1,1,8127
2/2/2016,C,1,1,1,14864
2/2/2016,C,2,1,1,13714
2/2/2016,C,4,1,1,8298
2/2/2016,C,3,1,1,13797
2/2/2016,B,4,1,1,3244
2/2/2016,B,3,1,1,6448
2/2/2016,B,2,1,1,6812
2/2/2016,A,4,1,1,1900
2/2/2016,A,3,1,1,4804
2/2/2016,A,2,1,1,4044